area_type,availability,location,size,society,total_sqft,bath,balcony,price,Pincode
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2,1,49.39,560098
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,Sancy L,1300,2,1,50,ERROR
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,,1652,3,2,85,560100
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,142,560058
Built-up  Area,Ready To Move,Arekere,3 BHK,,1740,2,,95,560076
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2,1,71,560100
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Sueneu ,1145,2,2,60,560029
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Laihai ,1540,2,0,40,560061
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1278,2,2,95,562125
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1,1,40,560100
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1100,3,2,58,560062
Plot  Area,Ready To Move,Bendiganahalli,3 Bedroom,Brersld,1200,3,0,95,ERROR
Built-up  Area,Ready To Move,Hosakerehalli Layout,7 Bedroom,,2500,6,2,115,560085
Super built-up  Area,18-Jun,Chandapura,1 BHK,SuVue S,520 - 645,1,0,15.135,560081
Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,1015,2,2,25.88,560081
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,,3300,5,2,240,560029
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,,4500,5,1,415,560079
Super built-up  Area,Ready To Move,Gunjur,3 BHK,,1356,2,3,66,560087
Super built-up  Area,Ready To Move,Hennagara,2 BHK,,823,2,1,28,562106
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2,0,66,560016
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,,1050,2,0,37,560016
Super built-up  Area,Ready To Move,Ferrar Nagar,2 BHK,Leton A,1180,2,1,69,ERROR
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,3,51.91,560066
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1070,2,1,42.79,560078
Super built-up  Area,17-Mar,Varthur,2 BHK,Uptusol,1385,2,3,80,560087
Plot  Area,Ready To Move,Varthur,1 Bedroom,,1000,1,1,70,560087
Built-up  Area,18-Feb,Whitefield,3 BHK,,1897,3,2,130,560066
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1005,2,1,55.78,560023
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soinequ,1575,3,2,125,ERROR
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,2,1,65,560061
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1904,3,2,120,560077
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,,930,1,1,30,560068
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,26,560062
Super built-up  Area,Ready To Move,BAGUR,1 BHK,,686,1,1,17,ERROR
Plot  Area,Ready To Move,Electronic City Phase II,2 Bedroom,Daosts ,2400,3,1,150,560100
Plot  Area,Ready To Move,8th block Koramangala,2 Bedroom,,1410,1,0,233,560095
Built-up  Area,18-Apr,Sarjapur  Road,3 Bedroom,,2238,3,1,140,562125
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2,1,69,ERROR
Built-up  Area,Ready To Move,Thubarahalli,4 Bedroom,,3800,4,3,239,560066
Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKe 2nz,2225,2,1,125,560066
Super built-up  Area,Ready To Move,M.G Road,2 BHK,SontsAp,1250,2,0,200,ERROR
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,52,560085
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,,1250,2,3,52,560048
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maantr ,1800,3,,110,562125
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Foodasa,1170,2,3,53,560037
Super built-up  Area,Ready To Move,Byatarayanapura,1 BHK,,1300,1,0,200,742149
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,793,2,1,45,560076
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1710,3,2,107,560064
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2,1,57.5,560074
Super built-up  Area,18-Mar,Naganathapura,2 BHK,,1001,2,2,33.03,ERROR
Built-up  Area,Ready To Move,Srinivasa Nagar,4 Bedroom,,1500,4,,180,600063
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1590,2,1,54,560064
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,,2400,2,0,80,560100
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,Asorai ,1554,3,2,55,560043
Super built-up  Area,18-Dec,Thanisandra,2 BHK,Omter A,1000 - 1285,2,0,43.415,560077
Super built-up  Area,Ready To Move,Bellandur,5 BHK,,4239,5,2,423,560037
Built-up  Area,Ready To Move,Konanakunte,2 Bedroom,,884,1,0,58,560062
Super built-up  Area,19-Mar,Hosa Road,2 BHK,Skume R,1045,2,1,98.89,560100
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1019,2,2,49.86,560037
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1935,4,2,130,110062
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1135,2,2,39.73,560061
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1680,3,2,150,ERROR
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470,5,2,247,560024
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,Prhtsok,2825,4,3,250,560078
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480,3,1,330,560085
Plot  Area,Ready To Move,5th Phase JP Nagar,9 Bedroom,,1260,11,,290,ERROR
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1800,4,3,187,560016
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Ocrda M,1799,3,3,90,560035
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,3606 - 5091,,,304,560066
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 2hu,400,1,1,11,562107
Built-up  Area,18-Mar,Kundalahalli,2 BHK,Dieldli,1047,2,1,82,560037
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,Kesomrn,1282,2,2,87,560076
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2,1,45.9,ERROR
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,,1080,3,1,155,560043
Super built-up  Area,Ready To Move,Whitefield,2 BHK,UKe 2nz,1495,2,1,79.5,560066
Built-up  Area,Ready To Move,Kasavanhalli,4 Bedroom,Vaidsi ,3260,4,1,240,560035
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,,1611,2,2,64.44,ERROR
Super built-up  Area,Ready To Move,Koramangala,4 BHK,K ncy R,3500,5,2,425,560003
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 Bedroom,,1500,2,2,95,ERROR
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,EsniaGa,1500,2,2,95,560092
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,Aaire S,3206,5,,270,560064
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Laihai ,1540,3,0,50,560061
Super built-up  Area,18-May,Hosa Road,3 BHK,Pamesy ,1639,3,1,80,560100
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,700,4,,72,560037
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2,2,55.79,560098
Super built-up  Area,Ready To Move,Koramangala,2 BHK,K ncy R,1005,1,1,110,560003
Super built-up  Area,Ready To Move,Kammasandra,1 BHK,Puitea ,650 - 665,1,0,18.41,560100
Super built-up  Area,18-Oct,Chandapura,3 BHK,SunceEs,1305,3,1,33.28,560081
Plot  Area,Ready To Move,Kothannur,3 Bedroom,,600,4,0,95,560077
Super built-up  Area,Ready To Move,sapthagiri Layout,2 BHK,,1300,1,1,115,560097
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Saowson,1440,2,3,68,ERROR
Super built-up  Area,18-Dec,Seegehalli,2 BHK,,901,2,1,35.14,ERROR
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1725,3,3,200,560010
Built-up  Area,Ready To Move,Sarjapur,3 BHK,,900,2,1,42,560037
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,,1060,2,1,55,ERROR
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2,1,48.45,ERROR
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1535,3,2,65.99,560087
Built-up  Area,Ready To Move,Alur,1 BHK,,530,1,1,20,680683
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56,ERROR
Super built-up  Area,Ready To Move,Devarabisanahalli,2 BHK,Spdoren,1350,2,3,80,560037
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2,2,50,562125
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1175,2,2,47,560061
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1113,2,1,62,560066
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,,1200,4,2,225,560061
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1640,4,3,240,560016
Built-up  Area,Ready To Move,Giri Nagar,2 BHK,Spanda ,650,2,0,42,560085
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1325,2,2,71.55,560037
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shelash,950,2,3,31,560100
Super built-up  Area,18-Apr,Jakkur,3 BHK,,1396,2,1,86.51,560064
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2,2,52.07,ERROR
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,,1825,3,2,100,560077
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Vasta C,1190,2,1,49.98,560078
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,56.5,560037
Super built-up  Area,Ready To Move,NRI Layout,3 BHK,,1565,2,2,75,560016
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3,1,109,560077
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,,900,2,0,27,560073
Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1161,2,1,55.15,560100
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,DSousyl,633 - 666,1,0,17.535,560037
Plot  Area,Ready To Move,Dwarka Nagar,8 Bedroom,,2400,6,3,125,ERROR
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,315,4,2,90,560010
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,665,1,1,36.85,560022
Super built-up  Area,19-Jan,Mysore Road,2 BHK,,1175,2,1,73.5,560076
Built-up  Area,Ready To Move,Hoodi,2 BHK,Goeur G,1425,2,2,80,560048
Plot  Area,Ready To Move,Chikkabanavar,1 Bedroom,,1200,1,0,20,ERROR
Plot  Area,18-Aug,ITPL,3 Bedroom,,1200,3,1,56.12,560066
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Abeesmi,1255,2,2,67,560102
